country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
belgium,6.1,6.3,6.3,6.3,6.3,6.9,6.9,6.8,6.7,6.8,7.3,7.8,7.8,7.7,7.9,8,8,7.8,7.6,7.6,7.6,7.5,8.6,8.4,7.8,7.8,8,
bulgaria,2.5,5,3.8,4,4.8,5.5,5.8,4.9,3.8,4,4.4,4,4.4,4.1,4.4,4.5,5.5,5.3,5,4.9,5,4.6,5.8,5.8,5.5,5.4,5.4,
czechia,6.5,6.6,6.7,7,7.3,7.4,7.2,6.9,7,6.8,6.9,7.8,7.7,7.6,7.7,7.5,7.5,7.5,7.4,7.3,7.4,7.4,9.2,9.5,8.8,8.8,9,
denmark,6.6,6.9,6.7,6.9,7.1,7.1,7.2,7.4,7.5,8,8.3,9.3,9,8.8,9.1,8.9,9,8.9,8.8,8.7,8.7,8.7,9.3,9.4,8.3,8.3,8.3,
germany,6.1,6.1,6.4,6.5,6.6,6.7,6.4,6.4,6.3,6.2,6.4,7,6.9,6.7,6.7,6.9,7,7,7.1,7,7,7.2,8.3,8.5,8.3,7.4,7.6,
estonia,4.6,5.1,4.5,4.3,4.4,4.3,4.2,4.1,4.3,4.4,5.2,5.9,5.7,5.2,5.2,5.2,5.2,5.6,5.3,5.1,5.3,5.5,6.5,6.5,5.9,6.2,6.3,
ireland,5,5,4.9,5.2,5.9,6.1,6.4,6,5.9,6.2,6.9,7.9,7.5,8,7.7,7.2,6.6,5,5.2,4.9,4.8,4.8,5.6,5.1,4.7,5.4,5.4,
greece,5.4,5.8,5.8,6.5,6.1,6.1,5.8,6.3,6,6.1,6.5,6.9,6.9,6.6,6.1,5.5,4.8,5,5.3,5.5,5.5,5.7,6.6,6.6,6.2,5.9,5.7,
spain,5.1,5.1,5.1,5,5.1,5.2,5.5,5.7,5.6,5.7,6.1,6.8,6.6,6.5,6.2,6.2,6.1,6.1,6,5.9,6,6.1,7.6,7.2,6.8,6.6,6.5,
france,6.9,6.8,6.9,7,7.3,7.6,7.6,7.8,7.7,7.6,7.6,8.1,8.1,8.1,8.2,8.2,8.3,8.2,8.3,8.3,8.2,8.1,9,9.4,9.1,8.8,8.9,
croatia,7.2,7.2,7.2,6.6,6.2,6.2,6.6,6.5,6.4,6.4,5.9,6.4,6.5,6.3,6.5,6.4,6.5,6.8,6.6,6.8,6.9,7.3,8.7,8.4,7.8,7.7,9,
italy,5.4,5.5,5.8,6.1,6.2,6.2,6.5,6.8,6.8,6.6,7,7.4,7.4,7.1,7.1,7,7,7,6.8,6.8,6.7,6.7,7.8,7.4,6.9,6.5,6.6,
cyprus,2.5,2.6,2.5,2.6,2.9,3.1,2.8,2.8,2.8,2.6,2.7,3,3,3.1,3,3.1,2.7,2.5,2.5,2.5,2.6,3.5,5.8,6.5,5.9,6,6.1,
latvia,4,4,4,3.2,3.7,3.4,3.4,4.1,4.5,4.2,4.5,4.6,4.1,4.4,4,3.8,3.9,3.9,3.8,3.6,4.2,4.3,4.8,6.5,5.6,5.4,5.4,
lithuania,5.4,5.8,4.9,5.5,5.1,5,4.1,4.9,4.6,4.6,5,5.5,5.5,5.2,4.7,4.5,4.5,4.7,4.8,4.6,4.7,5,5.9,5.8,5.2,5.2,5.8,
luxembourg,5,4.7,4.4,4.9,5,5.2,5.4,5.4,4.9,4.7,4.7,5.3,5,4.9,5,5.2,5.1,4.9,4.8,5,5.1,5.2,5.8,5.4,5.4,5.4,5.6,5.8
hungary,5.3,5.1,5.2,5,5.4,5.8,5.5,5.7,5.7,4.9,4.9,5.2,5,5.1,5.1,5,4.8,5.1,4.7,4.7,4.6,4.5,6.3,5.9,5.1,4.7,4.7,
malta,4.4,4.4,4.8,4.8,5.4,5.5,5.6,6,6.1,5.5,5.2,5,5.1,5.4,5.4,5.4,5.5,5.4,5.2,4.9,4.9,5.1,6.6,6.1,5.5,5,5,
netherlands,4.5,4.5,4.6,4.8,5.1,5.4,5.3,5.3,6.6,6.7,6.5,7.3,7.7,7.8,8.1,8,7.9,7.6,7.1,7.2,7.2,7.2,8.1,8.3,7.2,7.1,7.3,
austria,7.3,7.4,7.3,7.3,7.5,7.7,7.8,7.7,7.6,7.6,7.8,8.1,8.2,7.9,8,8.1,8.2,8.3,8.3,8.3,8.3,8.4,9.2,10.1,9.4,9,9.5,
poland,3.3,3.8,3.8,4.2,4.4,4.3,4.2,4.4,4.6,4.5,4.9,5,5,4.7,4.6,4.7,4.7,4.6,4.6,4.7,4.7,4.8,5.3,5.7,5.2,5.7,6.1,
portugal,6.1,6.1,6.3,6.5,6.6,7,7.3,7.3,7,7.1,7.3,8,7.5,6.9,6.6,6.5,6.3,6.2,6.1,6.3,6.5,6.5,7.4,7.6,7.1,6.7,6.8,
romania,2.4,3.8,4.1,4.1,4.1,3.5,3.2,3.3,3.3,3.6,3.6,4,4.1,3.9,3.7,4.1,4,4.2,4.1,4.4,4.6,5,5.5,5.5,5,4.8,5.2,
slovenia,6.7,6.6,6.7,6.8,6.8,6.7,6.5,6.5,6.3,5.9,6.2,7,6.9,7,7,6.9,6.5,6.7,6.8,6.6,6.6,6.7,8,8.3,7.7,7.3,8,
slovakia,,,,,,,,,,,,,7.6,7.2,7.1,5.1,5.7,5.5,5.7,5.6,5.4,5.8,6.4,6.5,6.9,6.6,6.9,
finland,5.8,5.8,5.7,5.8,6.2,6.4,6.5,6.7,6.7,6.5,6.7,7.4,7.3,7.4,7.7,7.9,7.9,7.3,7.2,7.1,7.1,7.2,7.7,7.8,7.5,7.6,7.7,
sweden,6.2,6.3,6.2,6.3,6.6,6.8,6.6,6.6,6.5,6.5,6.7,7.2,6.9,6.9,7,7.1,7.1,7,7.1,7.1,7.2,7.2,7.5,7.5,7.2,7.4,7.4,
