country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
belgium,70.48,71.54,72.18,73,74.96,76.78,77.97,79.16,80.63,82.67,84.6,86.13,90,89.99,92.09,95.18,97.68,98.9,99.38,100,101.77,104.03,106.44,107.77,108.23,111.71,123.26,126.07,131.52,135.49
bulgaria,,40.27,47.79,49.02,54.08,58.06,61.44,62.88,66.75,70.78,76.02,81.78,91.55,93.81,96.66,99.94,102.33,102.72,101.08,100,98.68,99.85,102.48,104.99,106.27,109.3,123.52,134.15,137.63,142.5
czechia,58.8,63.6,69.7,71,73.8,77.1,78.2,78.2,80.2,81.5,83.2,85.6,91,91.5,92.6,94.6,98,99.3,99.8,100,100.7,103.1,105.1,107.8,111.4,115.1,132.1,147.9,151.9,155.4
denmark,71.6,73,73.9,75.4,77.5,79.3,81.2,82.7,83.5,85,86.5,88,91.2,92.1,94.1,96.6,98.9,99.4,99.8,100,100,101.1,101.8,102.5,102.9,104.9,113.8,117.6,119.1,121.3
germany,75.7,76.9,77.3,77.8,78.9,80.4,81.5,82.4,83.8,85.5,87,89,91.4,91.6,92.7,95,97,98.6,99.3,100,100.4,102.1,104,105.5,105.8,109.2,118.7,125.9,129,131.9
estonia,45.7,49.95,54.34,56.02,58.22,61.5,63.71,64.59,66.55,69.29,72.37,77.25,85.45,85.62,87.96,92.43,96.33,99.46,99.93,100,100.8,104.48,108.05,110.5,109.8,114.72,137.03,149.52,155.1,162.57
ireland,69.1,70,71.5,73.3,77.1,80.2,84,87.3,89.3,91.3,93.7,96.4,99.5,97.8,96.2,97.4,99.2,99.7,100,100,99.8,100.1,100.8,101.7,101.2,103.6,112,117.8,119.4,121.9
greece,61.31,64.64,67.56,69.01,71.01,73.59,76.48,79.12,81.51,84.35,87.14,89.75,93.55,94.81,99.27,102.36,103.42,102.54,101.11,100,100.02,101.15,101.94,102.46,101.17,101.75,111.21,115.84,119.31,122.75
spain,64.93,66.15,67.31,68.82,71.22,73.23,75.86,78.21,80.6,83.33,86.29,88.75,92.41,92.19,94.08,96.94,99.31,100.83,100.63,100,99.66,101.69,103.46,104.26,103.91,107.04,115.95,119.89,123.33,126.65
france,74.93,75.88,76.4,76.83,78.23,79.62,81.16,82.93,84.86,86.47,88.1,89.52,92.34,92.44,94.05,96.2,98.33,99.31,99.91,100,100.31,101.47,103.6,104.95,105.5,107.68,114.04,120.5,123.29,124.43
croatia,,,63.97,66.37,69.32,72.28,74.11,75.88,77.51,79.83,82.46,84.65,89.56,91.56,92.55,94.59,97.76,100.04,100.26,100,99.37,100.67,102.23,103.04,103.06,105.82,117.11,126.94,132.04,137.82
italy,68.5,69.8,71.2,72.3,74.2,75.9,77.9,80.1,81.9,83.7,85.6,87.3,90.4,91.1,92.6,95.3,98.4,99.7,99.9,100,99.9,101.3,102.5,103.2,103,105,114.2,120.9,122.3,124.3
cyprus,66.81,69.02,70.63,71.44,74.91,76.4,78.53,81.65,83.2,84.88,86.79,88.67,92.55,92.71,95.09,98.4,101.45,101.84,101.57,100,98.78,99.45,100.23,100.78,99.67,101.92,110.17,114.5,117.09,118.06
latvia,46.72,50.49,52.66,53.77,55.18,56.58,57.69,59.39,63.06,67.4,71.83,79.08,91.14,94.11,92.96,96.88,99.09,99.11,99.79,100,100.1,103,105.63,108.53,108.62,112.14,131.47,143.38,145.32,150.85
lithuania,57.61,63.56,66.97,67.94,68.68,69.74,69.98,69.22,70.02,71.89,74.59,78.93,87.69,91.34,92.43,96.24,99.28,100.44,100.68,100,100.68,104.42,107.07,109.47,110.63,115.75,137.57,149.52,150.79,155.99
luxembourg,65.63,66.54,67.18,67.87,70.43,72.12,73.6,75.47,77.91,80.85,83.24,85.45,88.94,88.95,91.44,94.85,97.59,99.25,99.94,100,100.04,102.15,104.21,105.93,105.93,109.61,118.55,122.02,124.77,127.93
hungary,31.76,37.62,42.97,47.25,51.95,56.67,59.64,62.43,66.66,68.98,71.76,77.45,82.12,85.43,89.47,92.98,98.24,99.92,99.94,100,100.45,102.84,105.84,109.46,113.15,119.04,137.22,160.59,166.56,173.96
malta,63.69,66.19,68.63,70.21,72.34,74.16,76.1,77.56,79.68,81.69,83.79,84.38,88.33,89.95,91.79,94.1,97.13,98.08,98.84,100,100.9,102.18,103.95,105.54,106.37,107.12,113.69,120.01,122.94,125.9
netherlands,68.83,70.11,71.36,72.81,74.51,78.32,81.35,83.16,84.32,85.57,86.99,88.36,90.32,91.2,92.05,94.32,96.99,99.47,99.79,100,100.11,101.4,103.02,105.78,106.96,109.98,122.78,127.81,131.92,135.86
austria,71.77,72.61,73.2,73.58,75.02,76.74,78.04,79.05,80.6,82.3,83.69,85.53,88.29,88.64,90.14,93.35,95.75,97.77,99.2,100,100.97,103.22,105.41,106.98,108.47,111.46,121.07,130.4,134.21,139.01
poland,46.2,53.1,59.4,63.6,70,73.8,75.2,75.7,78.5,80.2,81.2,83.3,86.8,90.3,92.7,96.3,99.8,100.6,100.7,100,99.8,101.4,102.6,104.8,108.6,114.3,129.4,143.5,148.7,153.7
portugal,66.9,68.16,69.67,71.18,73.18,76.41,79.24,81.8,83.85,85.64,88.25,90.39,92.78,91.95,93.22,96.54,99.22,99.65,99.5,100,100.64,102.2,103.4,103.71,103.58,104.55,113.03,118.98,122.15,124.83
romania,3.25,8.29,13.19,19.23,28.01,37.66,46.14,53.18,59.51,64.9,69.19,72.58,78.33,82.7,87.73,92.84,95.98,99.04,100.41,100,98.93,100,104.08,108.15,110.67,115.21,129.06,141.64,149.91,160.06
slovenia,45.86,49.68,53.61,56.89,61.98,67.33,72.37,76.46,79.26,81.19,83.25,86.42,91.19,91.97,93.86,95.81,98.5,100.4,100.77,100,99.85,101.4,103.36,105.11,104.82,106.97,116.94,125.38,127.87,131.04
slovakia,43.89,46.53,49.64,54.82,61.5,65.9,68.21,73.96,79.49,81.71,85.19,86.8,90.22,91.05,91.69,95.43,99,100.45,100.35,100,99.52,100.9,103.46,106.33,108.47,111.53,125.05,138.79,143.17,149.23
finland,71.77,72.64,73.62,74.59,76.79,78.84,80.42,81.46,81.58,82.21,83.26,84.57,87.89,89.32,90.83,93.85,96.81,98.96,100.16,100,100.39,101.23,102.42,103.58,103.98,106.12,113.74,118.67,119.83,122.01
sweden,76.16,77.54,78.32,78.76,79.78,81.92,83.51,85.44,86.32,87.03,88.34,89.82,92.83,94.63,96.43,97.75,98.66,99.1,99.3,100,101.14,103.02,105.12,106.93,107.63,110.49,119.39,126.44,128.98,132.35
