Trade Balance|Annual Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Row Count,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2020,2021,2022,2023,2024,2025,2026
Total Exports FAS - General Imports Customs Val.,Austria,-262451115.00,-442444864.00,-219014523.00,-48942873.00,-85451968.00,-376472035.00,53250583.00,-190312044.00,-291545241.00,-51920747.00,-322551495.00,-678592506.00,-1364877687.00,-1393818661.00,-2696607722.00,-3838811622.00,-3507379317.00,-5313062802.00,-7497819889.00,-5821384751.00,-3838732168.00,-4406761194.00,-6589431013.00,-6029496316.00,-6260485284.00,-7003233261.00,-7288202463.00,-7069918515.00,-8187146262.00,-11200992430.00,-13042320835.00,-13621436429.00,-13108697863.00,-12165659239.00,0.00
Total Exports FAS - General Imports Customs Val.,Belgium,4162818880.00,5945707413.00,6623486097.00,5299568792.00,3699140116.00,4602054061.00,6409051760.00,5740868221.00,5521118878.00,5496201909.00,3176599592.00,4029287702.00,3394547718.00,3507690569.00,5077255264.00,4428234914.00,5588826676.00,6940299721.00,10009176919.00,11666088283.00,7849131003.00,9906101967.00,12559160455.00,12070475458.00,12829866272.00,13774261630.00,14686969164.00,15087508802.00,6549677038.00,12240385056.00,9203248613.00,15664878636.00,6413568083.00,9147513813.00,0.00
Total Exports FAS - General Imports Customs Val.,Bulgaria,121972570.00,36975561.00,85743314.00,6418471.00,-43410758.00,-101954851.00,-51277614.00,11184497.00,-67469409.00,-103964805.00,-97089271.00,-122526682.00,-226075261.00,-238848256.00,-285564209.00,-335539542.00,-185832065.00,-165700258.00,-119956123.00,118632578.00,-3357429.00,-88778758.00,-157147080.00,-260884947.00,-206406092.00,-249330242.00,-308187198.00,-334648500.00,-472036231.00,-813071065.00,-978333667.00,-1057673427.00,-1006723221.00,-347422858.00,0.00
Total Exports FAS - General Imports Customs Val.,Croatia,Not Valid,Not Valid,Not Valid,47970732.00,-3293172.00,32008267.00,46631016.00,34569276.00,55954807.00,24250396.00,-2489137.00,-50956403.00,-29563725.00,-67035260.00,16006924.00,-160658034.00,-205336480.00,-206159359.00,-85515775.00,196682846.00,-48241426.00,-24078997.00,73424167.00,-133997503.00,-116245590.00,-123942199.00,-244784841.00,-219305163.00,-284779195.00,-86893301.00,605182447.00,100555527.00,-2974353.00,-132807894.00,0.00
Total Exports FAS - General Imports Customs Val.,Cyprus,93527090.00,111092361.00,105966139.00,154775089.00,122192701.00,190888227.00,244800634.00,239463152.00,227402611.00,130833282.00,158286076.00,168438625.00,232869526.00,167698938.00,302092078.00,70498053.00,52984927.00,188761613.00,152286931.00,203579894.00,107721404.00,123267342.00,76922351.00,137509071.00,99706857.00,87397366.00,69848515.00,129167271.00,43582494.00,184499956.00,47606898.00,135766160.00,126106205.00,124149142.00,0.00
Total Exports FAS - General Imports Customs Val.,Czechia (Czech Republic),Not Valid,Not Valid,Not Valid,Not Valid,-10777632.00,-18463075.00,-943649.00,-71372612.00,-18231329.00,-103521851.00,-144502601.00,-337090590.00,-413386448.00,-577737286.00,-722033597.00,-938896088.00,-1158378397.00,-1228700425.00,-1168409079.00,-1189865956.00,-951289938.00,-1039223265.00,-1659442345.00,-2098347690.00,-1979563678.00,-2102556727.00,-2512096708.00,-2434709221.00,-2560146331.00,-2692193852.00,-3716633387.00,-2871124899.00,-3793328262.00,-3727531303.00,0.00
Total Exports FAS - General Imports Customs Val.,Denmark,-485055757.00,-366949864.00,-94033102.00,-191497925.00,-571727062.00,-906854067.00,-428003006.00,-407683093.00,-381133739.00,-507388050.00,-1106020582.00,-1461624945.00,-1789549941.00,-1739947996.00,-2169979588.00,-1731190365.00,-3229251439.00,-3271878516.00,-3139004665.00,-3682494421.00,-3503318319.00,-3879458097.00,-4512205641.00,-4552663089.00,-4263293102.00,-5173799573.00,-5557278395.00,-5704423199.00,-8684442731.00,-8569596623.00,-8370434180.00,-6392528082.00,-4246144506.00,-7590743103.00,0.00
Total Exports FAS - General Imports Customs Val.,Estonia,Not Valid,Not Valid,Not Valid,46167407.00,34122857.00,4082517.00,76634989.00,23101637.00,-29203851.00,-38124811.00,-75187817.00,-483571809.00,-183234822.00,-82036934.00,-61032661.00,-260776213.00,-365903192.00,-304820193.00,-53726313.00,-166544613.00,20980513.00,-509630515.00,-652651879.00,-270554944.00,-129392745.00,-256407938.00,-214948274.00,-744561039.00,-727096342.00,-1464231800.00,-967373751.00,-404996442.00,-691317353.00,-623815300.00,0.00
Total Exports FAS - General Imports Customs Val.,Finland,-396978093.00,-141111156.00,-138240907.00,-398851169.00,-761634815.00,-733637909.00,-1021053919.00,92934728.00,-656528573.00,-679708410.00,-1241547761.00,-1679084970.00,-1840535051.00,-1907481184.00,-1884223350.00,-1825074466.00,-2088028066.00,-2323307012.00,-2137859341.00,-2144622657.00,-2318706542.00,-1704135010.00,-1276914929.00,-2543452332.00,-2304138500.00,-2884948906.00,-2950588889.00,-3075069088.00,-3330839399.00,-5036839124.00,-6057637574.00,-4417181649.00,-5577099243.00,-5223078625.00,0.00
Total Exports FAS - General Imports Customs Val.,France,-1443585727.00,528125798.00,1993294835.00,-235599951.00,-1977168347.00,-3152341099.00,-2936565588.00,-4202060010.00,-4743341041.00,-6349300144.00,-7071194618.00,-9529632160.00,-10399843974.00,-9389139478.00,-12153020735.00,-10574212680.00,-11445236460.00,-12931410203.00,-14181875784.00,-14810189201.00,-7511868502.00,-11385541182.00,-12192234600.00,-10833244633.00,-13962597829.00,-15815889522.00,-17782469946.00,-15560276785.00,-15658171944.00,-20238317882.00,-10933177423.00,-13245651078.00,-16235603205.00,-18120880425.00,0.00
Total Exports FAS - General Imports Customs Val.,Germany,-7950827507.00,-9418547414.00,-4913433270.00,-7593018546.00,-9648211676.00,-12512264312.00,-14470238013.00,-15468820039.00,-18602251905.00,-23182059793.00,-28304652086.00,-29492655038.00,-29037375380.00,-35852008145.00,-39199040047.00,-45854803118.00,-50663329075.00,-47753358280.00,-44712466258.00,-42820589764.00,-27954463303.00,-34295148642.00,-49390148480.00,-60422803955.00,-66978434378.00,-74763142824.00,-74908970882.00,-64523752846.00,-56895193667.00,-69289925135.00,-73736087842.00,-82506750205.00,-84655956213.00,-73046606717.00,0.00
Total Exports FAS - General Imports Customs Val.,Greece,230322524.00,257720049.00,602824184.00,526757032.00,535995175.00,375332035.00,1120566731.00,324103487.00,500623823.00,887959111.00,423223821.00,625930381.00,790319716.00,606684744.00,575091028.00,1339985392.00,306205079.00,589028624.00,918034748.00,932896359.00,1635137581.00,308578845.00,265525752.00,-182797496.00,-215199618.00,-276710115.00,-630923706.00,-481180956.00,101773231.00,-120101491.00,106753524.00,-275935110.00,262598001.00,278460629.00,0.00
Total Exports FAS - General Imports Customs Val.,Hungary,-207082114.00,-191968601.00,-110482969.00,-53970789.00,33372607.00,-160931155.00,-251601268.00,-346010045.00,-592383875.00,-1084985788.00,-1388623713.00,-2146272844.00,-2278026215.00,-1950852237.00,-1765428931.00,-1431575958.00,-1540245602.00,-1392851378.00,-1512172272.00,-1698088075.00,-992725440.00,-1200792890.00,-1469338653.00,-1635128945.00,-2040914683.00,-3487537911.00,-4004156402.00,-3490650254.00,-3166103562.00,-4141381097.00,-4825477495.00,-7700704481.00,-9431724446.00,-8391048982.00,0.00
Total Exports FAS - General Imports Customs Val.,Ireland,923051054.00,793720392.00,727289244.00,589376901.00,211267231.00,525153296.00,13065230.00,-1138644179.00,-1232475689.00,-2731931810.00,-4627673712.00,-8683246414.00,-11389906610.00,-15638894907.00,-18142257115.00,-19275827617.00,-19285674477.00,-20124662029.00,-21335742208.00,-22914911486.00,-20549543600.00,-26572186514.00,-31712889852.00,-25979641474.00,-24864222918.00,-26179868540.00,-30420765143.00,-35960598636.00,-55384562596.00,-60142997133.00,-66690713242.00,-65594228569.00,-86521420616.00,-114201268759.00,0.00
Total Exports FAS - General Imports Customs Val.,Italy,-4713560047.00,-4733506593.00,-3209093818.00,-3602163204.00,-6764432796.00,-7518076531.00,-7635409258.00,-9437431668.00,-10387461062.00,-11985790975.00,-12344008834.00,-14049988263.00,-13907747164.00,-14201286907.00,-14866651843.00,-17377872294.00,-19495934005.00,-20085545304.00,-20900564137.00,-20664797011.00,-14183569377.00,-14293749156.00,-17936251321.00,-20867641113.00,-21951703300.00,-25408934044.00,-28008065631.00,-28548543850.00,-29498823242.00,-39300314361.00,-41412363382.00,-43886629707.00,-43987020067.00,-30753694722.00,0.00
Total Exports FAS - General Imports Customs Val.,Latvia,Not Valid,Not Valid,Not Valid,44738913.00,66925991.00,50612498.00,3100650.00,66069181.00,70341996.00,72011946.00,-11382663.00,-152587851.00,-33757260.00,-106219352.00,-253389721.00,-243754296.00,-185399351.00,-53342044.00,47067142.00,165840639.00,146006782.00,151893706.00,223391387.00,268546391.00,221896087.00,152489536.00,-35921815.00,-64862307.00,-213658940.00,-272797956.00,-330058166.00,378381218.00,-85142526.00,-65643513.00,0.00
Total Exports FAS - General Imports Customs Val.,Lithuania,Not Valid,Not Valid,Not Valid,39352903.00,40701394.00,25607240.00,25475096.00,28830898.00,7563487.00,-18946582.00,-30777963.00,-75704438.00,-64853623.00,-196503232.00,-184709733.00,-187177994.00,-245163139.00,-3631031.00,264611711.00,81675815.00,-182134556.00,-9172368.00,97506313.00,-419220911.00,-700117023.00,-414326235.00,-531659601.00,-720093894.00,-308691923.00,-805659366.00,27356914.00,1020825827.00,-52796098.00,733799096.00,0.00
Total Exports FAS - General Imports Customs Val.,Luxembourg,-75966075.00,-75797600.00,28804020.00,45271429.00,307856711.00,-59256771.00,140901660.00,38485579.00,473091017.00,232185856.00,669813457.00,65153781.00,244616499.00,181430678.00,14141486.00,414021386.00,393676544.00,45643664.00,475913162.00,528750337.00,849549985.00,988979757.00,1090732154.00,1349919089.00,1207651124.00,759052982.00,754780502.00,947271736.00,858556586.00,937373032.00,913576841.00,1582066976.00,411023502.00,491380511.00,0.00
Total Exports FAS - General Imports Customs Val.,Malta,-12154398.00,4970048.00,-8700249.00,-32810494.00,67967552.00,-8008137.00,-25766978.00,-83447487.00,-103861098.00,-72180705.00,-132928123.00,-149516522.00,-109947453.00,-99635916.00,-171226337.00,-200698092.00,-89177818.00,-208085907.00,-121527242.00,-25209806.00,-25669600.00,195561428.00,508366552.00,135978774.00,351500435.00,743360251.00,249485387.00,-1001450701.00,-33434229.00,-119110957.00,9067403.00,231989448.00,140747357.00,445789282.00,0.00
Total Exports FAS - General Imports Customs Val.,Netherlands,6596699064.00,8044015641.00,8701382957.00,8452735716.00,7388077671.00,7575606850.00,10180396646.00,9997315144.00,12543164105.00,11412791888.00,10939415721.00,12270026312.00,10024408377.00,8470626172.00,9731033288.00,11681654074.00,11634288233.00,13754485327.00,14565513191.00,19083266983.00,16244222061.00,15684844420.00,18772196511.00,18358689119.00,23342595767.00,22242154068.00,23367660126.00,23535375878.00,17443281884.00,17976121197.00,38343755151.00,43133782716.00,54167460863.00,60698170213.00,0.00
Total Exports FAS - General Imports Customs Val.,Poland,26910393.00,-2235233.00,101344968.00,262238355.00,462475015.00,-25850205.00,112604715.00,340909133.00,473034543.00,98989756.00,11678660.00,-282524767.00,-165080601.00,-413800204.00,-567164157.00,-900822579.00,-679697023.00,-294160683.00,897693824.00,1545024599.00,265452831.00,19184949.00,-1235408450.00,-1275084470.00,-1107068116.00,-1553594754.00,-1895836869.00,-2305710764.00,-3553939300.00,-3888439299.00,-387111466.00,-2131450522.00,-1541776051.00,175261852.00,0.00
Total Exports FAS - General Imports Customs Val.,Portugal,126493104.00,89660329.00,94878798.00,360125923.00,-55181626.00,156268822.00,-156843363.00,-55989029.00,-182505653.00,-378107965.00,-265564959.00,-622841744.00,-297274252.00,-810213310.00,-1104458633.00,-1196932760.00,-1199335224.00,-1570471888.00,-591886115.00,195016069.00,-483667349.00,-1083650793.00,-1266521370.00,-1512455144.00,-1986756495.00,-2105738366.00,-2328239440.00,-2236967138.00,-2112530876.00,-2571817189.00,-3239502027.00,-4114382073.00,-3826571874.00,-3676957571.00,0.00
Total Exports FAS - General Imports Customs Val.,Romania,-198811705.00,137959138.00,139535269.00,161007507.00,254406714.00,142178843.00,33771886.00,16316445.00,-145564048.00,-53765018.00,-257734388.00,-237404826.00,-145173898.00,-446716576.00,-363270139.00,-350746781.00,-575831717.00,-568765373.00,-373729067.00,-58460928.00,-71935870.00,-278005555.00,-516509177.00,-787619790.00,-969640365.00,-1156329474.00,-1395969313.00,-1266830952.00,-1202814759.00,-1497647173.00,-2423578284.00,-2680862881.00,-2649379653.00,-2484058723.00,0.00
Total Exports FAS - General Imports Customs Val.,Slovakia,Not Valid,Not Valid,Not Valid,Not Valid,-30696048.00,-85947543.00,-68485533.00,-61871277.00,-83817951.00,-55075825.00,-41808432.00,-130778537.00,-167475661.00,-161919263.00,-897806442.00,-1081859525.00,-810655392.00,-837202872.00,-882076403.00,-729735216.00,-414978734.00,-817296225.00,-1105226653.00,-1443950061.00,-1467675775.00,-1672426664.00,-1920389003.00,-2233138644.00,-4664332679.00,-4541427023.00,-6186468868.00,-7896587265.00,-7627045531.00,-5566552337.00,0.00
Total Exports FAS - General Imports Customs Val.,Slovenia,Not Valid,Not Valid,Not Valid,-61110140.00,-137374426.00,-168884996.00,-179207183.00,-158966677.00,-163431770.00,-163782681.00,-162669975.00,-173335606.00,-166296735.00,-175434885.00,-342331584.00,-320384351.00,-177891172.00,-245999315.00,-191334708.00,-157006134.00,-145866440.00,-137005727.00,123630057.00,-253741653.00,-305487053.00,-405363232.00,-332142906.00,-420832589.00,-893243751.00,-1323059670.00,-2598211747.00,-3542080734.00,-5959049442.00,-2665111986.00,0.00
Total Exports FAS - General Imports Customs Val.,Spain,1468474738.00,1898690779.00,2627223089.00,2486552550.00,1184230008.00,1071228288.00,1653348026.00,1205369471.00,938455982.00,680311727.00,1076255639.00,591861563.00,618988213.00,-451960140.00,-772577588.00,-835289870.00,-1683131004.00,-2412720926.00,-650400873.00,1194927792.00,885765915.00,1801845246.00,13610299.00,-2216068068.00,-1423717778.00,-4259001424.00,-3822679149.00,-3019980284.00,-2236840361.00,-1730617660.00,3881744817.00,2168486292.00,3411642108.00,4794934157.00,0.00
Total Exports FAS - General Imports Customs Val.,Sweden,-1750015303.00,-1527281026.00,-1214015935.00,-1871764341.00,-2178043088.00,-2523963012.00,-3169297878.00,-3729593986.00,-3986011988.00,-4017328072.00,-3872133155.00,-5046119845.00,-5303010022.00,-6133040579.00,-7899184673.00,-9421471791.00,-10118187299.00,-9714364057.00,-8552326661.00,-7404522875.00,-3642969234.00,-5757499229.00,-6224574413.00,-4973850078.00,-4855197750.00,-6023734842.00,-5971149151.00,-5894236952.00,-7507102189.00,-9552157848.00,-9299121590.00,-9729991868.00,-9807262615.00,-6856892063.00,0.00
Total: ,,"-3,746,218,424","948,795,158","11,924,758,141","4,433,328,288","-7,858,671,671","-13,601,884,754","-10,281,093,628","-17,192,681,297","-20,856,466,973","-32,542,348,161","-45,045,268,319","-57,835,358,396","-64,007,241,734","-79,100,399,607","-90,786,338,737","-100,409,982,217","-110,959,016,255","-109,491,980,906","-100,878,095,285","-88,376,040,700","-58,819,069,752","-78,301,856,457","-104,092,429,858","-116,371,526,710","-120,035,041,530","-143,558,100,960","-153,936,682,031","-147,612,418,590","-182,579,059,276","-218,061,210,194","-202,056,312,318","-207,653,462,621","-235,873,887,019","-218,750,315,425",0
